productSellerID,productCategoryID,productID,productVendorID,productMerchantID,productPosition,productLocation,stars,numberReviews,productName,productPrice,productCondition
5,80164,18848130,206,2,17,Catalog,None,0,Кавомашина DELONGHI PrimaDonna S Evo ECAM 510.55.M,1366.19,new
5,80164,12477922,166,2,18,Catalog,100,1,Кавоварка BEKO BKK 2300 (по-турецки),121.4,new
5,80164,211471,206,2,19,Catalog,100,2,Кавомашина DELONGHI ESAM 04.350.S+набір стаканів DELONGHI,569.22,new
5,80164,11181853,206,2,20,Catalog,60,2,Кавоварка еспресо DELONGHI ECP 31.21 BK,113.81,new
5,80164,221493,206,2,21,Catalog,90,6,Кавомашина DELONGHI ESAM 2600,379.47,new
5,80164,2692732,206,2,22,Catalog,90,26,Кавоварка DELONGHI EC 156 B,110.02,new
5,80164,301158,3096,2,23,Catalog,90,21,Крапельна кавоварка MAGIO MG-342,13.47,new
5,80164,17219611,206,2,24,Catalog,100,1,Кавоварка еспресо DELONGHI BCO 410.1 BLACK,165.09,new
5,80164,6308109,182,2,25,Catalog,90,11,Кавомашина SAECO Incanto HD8918/09,673.62,new
5,80164,2103572,206,2,26,Catalog,80,7,Кавоварка DELONGHI EC 146 B,102.43,new
5,80164,18128412,23,2,27,Catalog,100,2,Кавомашина PHILIPS 2000 series HD8650/09,284.59,new
5,80164,100696,216,2,28,Catalog,90,49,Кавоварка VITEK VT-1511 BK,87.1,new
5,80164,17916528,206,2,29,Catalog,None,0,Кавоварка еспресо DELONGHI ESAM 2800 SB+набір стаканів DELONGHI,379.47,new
5,80164,129276,216,2,30,Catalog,90,242,Кавоварка VITEK VT-1513 BK,89.18,new
5,80164,105138,206,2,31,Catalog,None,0,Кавоварка еспресо DELONGHI BCO 260 CD,151.76,new
5,80164,15222413,206,2,0,Catalog,None,0,Кавомашина DELONGHI ECAM 350.55 B+набір стаканів DELONGHI,986.68,new
5,80164,2790332,206,2,1,Catalog,100,3,Кавомашина DELONGHI ESAM 6704 Avant+набір стаканів DELONGHI,1707.74,new
5,80164,252316,206,2,2,Catalog,None,0,Кавомашина DELONGHI ECAM 22.360 B + набір стаканів DELONGHI,645.12,new
5,80164,252317,206,2,3,Catalog,100,1,Кавомашина DELONGHI ECAM 22.360 S+набір стаканів DELONGHI,645.12,new
5,80164,194426,206,2,4,Catalog,100,2,Кавомашина DELONGHI ECAM 22.110 B+набір стаканів DELONGHI,493.32,new
5,80164,7239820,206,2,5,Catalog,None,0,Кавомашина DELONGHI ECAM 28.464 M+набір стаканів DELONGH,1328.24,new
5,80164,244632,206,2,6,Catalog,100,1,Кавомашина DELONGHI ECAM 21.117 SB+набір стаканів DELONGHI,493.32,new
5,80164,6369280,206,2,7,Catalog,100,1,Кавомашина DELONGHI ECAM 45.764.W Eletta Cappucino Top,1138.48,new
5,80164,11257201,23,2,8,Catalog,90,2,Кавомашина PHILIPS 3100 series HD8828/09,557.84,new
5,80164,169614,206,2,9,Catalog,90,3,Кавомашина DELONGHI ECAM 22.110 SB Кава KIMBO,493.32,new
5,80164,13921,206,2,10,Catalog,90,12,Кавомашина DELONGHI ESAM 3000 B+набір стаканів DELONGHI,379.47,new
5,80164,12155102,3096,2,11,Catalog,90,14,Крапельна кавоварка MAGIO MG-347,16.09,new
5,80164,13917,206,2,12,Catalog,40,1,Кавоварка еспресо DELONGHI ESAM 6600 STEEL,1070.17,new
5,80164,2130562,206,2,13,Catalog,None,0,Кавоварка DELONGHI ECOV 311 BG,227.67,new
5,80164,1107944,182,2,14,Catalog,80,18,Кавоварка SAECO HD8323/39,144.17,new
5,80164,274016,2499,2,15,Catalog,80,2,Кавоварка MYSTERY MCB 5125,109.6,new
5,80164,1347612,182,2,16,Catalog,90,14,Кавоварка SAECO Manual Poemia HD8327/99,168.65,new
5,80164,15299707,266,2,17,Catalog,None,0,Кавоварка еспресо POLARIS PCM 1515E Adore Crema,97.91,new
5,80164,14786025,1063,2,18,Catalog,100,1,Кавоварка еспресо Saturn ST-CM 7094,62.62,new
5,80164,9829894,266,2,19,Catalog,100,3,Краплинна кавоварка POLARIS PCM 0109,11.2,new
5,80164,16808444,195,2,20,Catalog,90,2,Капсульна кавоварка KRUPS DOLCE GUSTO PICCOLO KP100010,91.04,new
5,80164,324086,1545,2,21,Catalog,90,18,Кавоварка HILTON KA 5413,11.16,new
5,80164,1165095,23,2,22,Catalog,90,12,Кавоварка PHILIPS Daily Collection HD7447/00,37.91,new
5,80164,16188236,291,2,23,Catalog,None,0,Кавоварка ARIETE 1342 GR,75.86,new
5,80164,123377,195,2,24,Catalog,None,0,Кавомашина KRUPS EA 8010,493.32,new
5,80164,16807958,195,2,25,Catalog,100,1,Капсульна кавоварка KRUPS DOLCE GUSTO DROP KP350B10,163.15,new
5,80164,16808396,195,2,26,Catalog,100,1,Капсульна кавоварка KRUPS DOLCE GUSTO DROP KP350510,163.15,new
5,80164,16204214,152,2,27,Catalog,100,3,Кавоварка GORENJE ATCM 730 T,75.86,new
5,80164,6369274,206,2,28,Catalog,None,0,Кавомашина DELONGHI ETAM 36.364 М DE LUXE,1328.24,new
5,80164,18758467,23,2,29,Catalog,None,0,Кавомашина PHILIPS 3100 series HD8829/09,455.37,new
5,80164,416489,2499,2,30,Catalog,90,17,Кавоварка MYSTERY MCB-5120,68.27,new
5,80164,7147479,152,2,31,Catalog,80,4,Кавоварка GORENJE TCM800E,38.52,new
